Date,Year,Month,Day,Quarter,Week,DayOfWeek,DayName,MonthName,IsWeekend
2021-06-03 06:29:29.604034,2021,6,3,2,22,3,Thursday,June,False
2021-06-04 06:29:29.604034,2021,6,4,2,22,4,Friday,June,False
2021-06-05 06:29:29.604034,2021,6,5,2,22,5,Saturday,June,True
2021-06-06 06:29:29.604034,2021,6,6,2,22,6,Sunday,June,True
2021-06-07 06:29:29.604034,2021,6,7,2,23,0,Monday,June,False
2021-06-08 06:29:29.604034,2021,6,8,2,23,1,Tuesday,June,False
2021-06-09 06:29:29.604034,2021,6,9,2,23,2,Wednesday,June,False
2021-06-10 06:29:29.604034,2021,6,10,2,23,3,Thursday,June,False
2021-06-11 06:29:29.604034,2021,6,11,2,23,4,Friday,June,False
2021-06-12 06:29:29.604034,2021,6,12,2,23,5,Saturday,June,True
2021-06-13 06:29:29.604034,2021,6,13,2,23,6,Sunday,June,True
2021-06-14 06:29:29.604034,2021,6,14,2,24,0,Monday,June,False
2021-06-15 06:29:29.604034,2021,6,15,2,24,1,Tuesday,June,False
2021-06-16 06:29:29.604034,2021,6,16,2,24,2,Wednesday,June,False
2021-06-17 06:29:29.604034,2021,6,17,2,24,3,Thursday,June,False
2021-06-18 06:29:29.604034,2021,6,18,2,24,4,Friday,June,False
2021-06-19 06:29:29.604034,2021,6,19,2,24,5,Saturday,June,True
2021-06-20 06:29:29.604034,2021,6,20,2,24,6,Sunday,June,True
2021-06-21 06:29:29.604034,2021,6,21,2,25,0,Monday,June,False
2021-06-22 06:29:29.604034,2021,6,22,2,25,1,Tuesday,June,False
2021-06-23 06:29:29.604034,2021,6,23,2,25,2,Wednesday,June,False
2021-06-24 06:29:29.604034,2021,6,24,2,25,3,Thursday,June,False
2021-06-25 06:29:29.604034,2021,6,25,2,25,4,Friday,June,False
2021-06-26 06:29:29.604034,2021,6,26,2,25,5,Saturday,June,True
2021-06-27 06:29:29.604034,2021,6,27,2,25,6,Sunday,June,True
2021-06-28 06:29:29.604034,2021,6,28,2,26,0,Monday,June,False
2021-06-29 06:29:29.604034,2021,6,29,2,26,1,Tuesday,June,False
2021-06-30 06:29:29.604034,2021,6,30,2,26,2,Wednesday,June,False
2021-07-01 06:29:29.604034,2021,7,1,3,26,3,Thursday,July,False
2021-07-02 06:29:29.604034,2021,7,2,3,26,4,Friday,July,False
2021-07-03 06:29:29.604034,2021,7,3,3,26,5,Saturday,July,True
2021-07-04 06:29:29.604034,2021,7,4,3,26,6,Sunday,July,True
2021-07-05 06:29:29.604034,2021,7,5,3,27,0,Monday,July,False
2021-07-06 06:29:29.604034,2021,7,6,3,27,1,Tuesday,July,False
2021-07-07 06:29:29.604034,2021,7,7,3,27,2,Wednesday,July,False
2021-07-08 06:29:29.604034,2021,7,8,3,27,3,Thursday,July,False
2021-07-09 06:29:29.604034,2021,7,9,3,27,4,Friday,July,False
2021-07-10 06:29:29.604034,2021,7,10,3,27,5,Saturday,July,True
2021-07-11 06:29:29.604034,2021,7,11,3,27,6,Sunday,July,True
2021-07-12 06:29:29.604034,2021,7,12,3,28,0,Monday,July,False
2021-07-13 06:29:29.604034,2021,7,13,3,28,1,Tuesday,July,False
2021-07-14 06:29:29.604034,2021,7,14,3,28,2,Wednesday,July,False
2021-07-15 06:29:29.604034,2021,7,15,3,28,3,Thursday,July,False
